words,tf,idf,tfidf
trust,2.0,6.061456918928017,12.122913837856034
forget,2.0,6.061456918928017,12.122913837856034
etc,2.0,6.061456918928017,12.122913837856034
bar,2.0,6.061456918928017,12.122913837856034
extra,3.0,5.655991810819852,16.967975432459557
planned,2.0,6.061456918928017,12.122913837856034
stray,2.0,6.061456918928017,12.122913837856034
jetlag,2.0,6.061456918928017,12.122913837856034
path,6.0,4.962844630259907,29.777067781559442
part,3.0,5.655991810819852,16.967975432459557
half,4.0,5.368309738368072,21.473238953472286
scar,2.0,6.061456918928017,12.122913837856034
photo,2.0,6.061456918928017,12.122913837856034
area,2.0,6.061456918928017,12.122913837856034
visit,2.0,6.061456918928017,12.122913837856034
night,4.0,5.368309738368072,21.473238953472286
overland,3.0,5.655991810819852,16.967975432459557
location,3.0,5.655991810819852,16.967975432459557
bad,2.0,6.061456918928017,12.122913837856034
flexibility,3.0,5.655991810819852,16.967975432459557
others,2.0,6.061456918928017,12.122913837856034
short,2.0,6.061456918928017,12.122913837856034
life,3.0,5.655991810819852,16.967975432459557
picture,3.0,5.655991810819852,16.967975432459557
friendly,2.0,6.061456918928017,12.122913837856034
bag,3.0,5.655991810819852,16.967975432459557
lax,2.0,4.1155467698727035,8.231093539745407
activity,2.0,6.061456918928017,12.122913837856034
carron,2.0,6.061456918928017,12.122913837856034
check,3.0,5.655991810819852,16.967975432459557
trail,2.0,6.061456918928017,12.122913837856034
going,2.0,6.061456918928017,12.122913837856034
culture,3.0,5.655991810819852,16.967975432459557
immense,2.0,6.061456918928017,12.122913837856034
solo,2.0,6.061456918928017,12.122913837856034
expectation,4.0,5.368309738368072,21.473238953472286
that,2.0,6.061456918928017,12.122913837856034
okay,2.0,6.061456918928017,12.122913837856034
unexpected,2.0,6.061456918928017,12.122913837856034
first,2.0,6.061456918928017,12.122913837856034
package,2.0,6.061456918928017,12.122913837856034
sure,2.0,6.061456918928017,12.122913837856034
goose,4.0,5.368309738368072,21.473238953472286
stand,2.0,6.061456918928017,12.122913837856034
someone,2.0,6.061456918928017,12.122913837856034
style,2.0,6.061456918928017,12.122913837856034
friend,4.0,4.962844630259907,19.851378521039628
rental,2.0,6.061456918928017,12.122913837856034
insurance,2.0,6.061456918928017,12.122913837856034
fly,2.0,6.061456918928017,12.122913837856034
stupid,2.0,6.061456918928017,12.122913837856034
like,6.0,4.962844630259907,29.777067781559442
act,3.0,4.808693950432649,14.426081851297948
fewer,2.0,6.061456918928017,12.122913837856034
lightly,3.0,5.655991810819852,16.967975432459557
possible,4.0,5.368309738368072,21.473238953472286
enough,2.0,6.061456918928017,12.122913837856034
clothes,4.0,5.368309738368072,21.473238953472286
double,2.0,6.061456918928017,12.122913837856034
camera,2.0,6.061456918928017,12.122913837856034
stress,3.0,5.655991810819852,16.967975432459557
learn,2.0,6.061456918928017,12.122913837856034
language,2.0,6.061456918928017,12.122913837856034
rest,2.0,5.368309738368072,10.736619476736143
panic,3.0,5.655991810819852,16.967975432459557
openminded,3.0,5.655991810819852,16.967975432459557
wear,2.0,6.061456918928017,12.122913837856034
anything,2.0,6.061456918928017,12.122913837856034
journal,2.0,6.061456918928017,12.122913837856034
know,2.0,6.061456918928017,12.122913837856034
wallet,2.0,6.061456918928017,12.122913837856034
seek,2.0,6.061456918928017,12.122913837856034
cut,2.0,6.061456918928017,12.122913837856034
street,2.0,6.061456918928017,12.122913837856034
choose,2.0,6.061456918928017,12.122913837856034
travelling,2.0,6.061456918928017,12.122913837856034
behind,2.0,6.061456918928017,12.122913837856034
